Date,Open,High,Low,Close,    Volume
1/8/21,2142,2150.88,2063.02,2090,5386164
1/11/21,2090,2150.5,2058.6,2099.73,5107990
1/12/21,2088,2160.9,2085,2160.9,4105859
1/13/21,2164,2173.33,2135,2164,3438993
1/14/21,2156,2163,2116.11,2134,3615220
1/15/21,2115,2134.35,2029,2082,5950939
1/18/21,2061.06,2091.48,2040.27,2063,3914404
1/19/21,2073.11,2096.3,2006.85,2009.41,4634519
1/20/21,2008,2055.49,1982.5,2040.63,4508242
1/21/21,2048,2090.02,2041,2070,3831017
1/22/21,2069,2100,2060.1,2079.95,2924761
1/25/21,2083,2179.5,2083,2175,5595716
1/26/21,2185,2187,2125.11,2141.89,3174746
1/27/21,2141.89,2141.89,2085,2089,3712017
1/28/21,2080,2109.66,2060.02,2088,3512864
1/29/21,2101.19,2149.48,2090.22,2116.18,3370133
2/1/21,2130,2160,2095,2109.32,2934059
2/2/21,2112.22,2149.99,2102.1,2145,3458225
2/3/21,2150,2198.27,2140,2189.91,3871415
2/4/21,2191,2330,2191,2320.85,6385101
2/5/21,2325,2364.6,2291,2313,3972906
2/8/21,2337,2378.88,2313,2368.8,3578573
2/9/21,2368.8,2456.43,2350,2456.43,3329655
2/10/21,2485,2601.2,2485,2601,6137057
2/18/21,2587.98,2627.88,2465,2471,6591232
2/19/21,2451.16,2496.66,2381.6,2460,5938546
2/22/21,2455,2455,2278.22,2288.02,7893547
2/23/21,2265.14,2344.89,2265,2307,5745460
2/24/21,2307.99,2318,2160.5,2189,8211578
2/25/21,2209,2224.5,2121.21,2150,5972643
2/26/21,2100,2179.95,2067.3,2122.78,6652506
3/1/21,2179,2179,2120,2158,4491626
3/2/21,2180,2180,2033,2058,7076450
3/3/21,2040,2149.77,2033,2140,5421546
3/4/21,2095,2096,2010.1,2033,6508829
3/5/21,2000,2095,1988,2060.11,6377920
3/8/21,2074.96,2085,1960,1960,6309959
3/9/21,1955,2000,1900.18,1936.99,8226581
3/10/21,1977,1999.87,1967,1970.01,5117174
3/11/21,1975,2079.99,1961.48,2048,5676897
3/12/21,2070,2077,2002.01,2026,4032251
3/15/21,2050,2069.8,1951.15,1975.45,6248487
3/16/21,1974.93,2019.99,1965,2010.5,3464850
3/17/21,2000,2050,1976.01,2030.36,3137491
3/18/21,2035,2086.36,2035,2069.7,3386488
3/19/21,2035,2043,1992.23,2010,3578077
3/22/21,2000.1,2026.09,1955.55,1989.99,3691407
3/23/21,1998.88,2008.8,1970,1996,2744619
3/24/21,1981,2013,1981,1989,2935739
3/25/21,1970.01,1988.88,1946.8,1971,3157523
3/26/21,1985,2022,1958,2013,5001642
3/29/21,2043.2,2096.35,2026.15,2034.1,5699220
3/30/21,2040,2086,2035.08,2056.05,3262697
3/31/21,2045.1,2046.02,2000,2009,3715441
4/1/21,2021,2046.8,2001.22,2044.5,2658763
4/2/21,2056,2165,2056,2162,5202757
4/6/21,2161,2161.98,2102.3,2126.03,3274177
4/7/21,2104.06,2117.3,2050,2061,4020097
4/8/21,2047.03,2079,2044,2070,2854762
4/9/21,2042,2054,2005.01,2020,2880886
4/12/21,2011,2030,1991.7,2008.89,3194307
4/13/21,2020,2049.8,2009,2021,2899215
4/14/21,2035,2048,2016,2047,2411465
4/15/21,2030.9,2046.9,1990,2015.6,3436621
4/16/21,2025.08,2068,2012,2054.98,3029370
4/19/21,2055,2098.36,2033,2088,3175391
4/20/21,2071.1,2129,2070,2094.8,2829037
4/21/21,2076,2097.8,2065.1,2080,2614975
4/22/21,2089.9,2099,2051.5,2055.5,2685002
4/23/21,2055.97,2119.88,2052.5,2108.94,3346277
4/26/21,2132,2135,2073.6,2077.82,3404511
4/27/21,2087.08,2095.25,2065.09,2094.44,2210785
4/28/21,2010,2047.5,2003,2042,8134295
4/29/21,2047.04,2049.94,2014,2026.36,4128378
4/30/21,2026,2036,2003.71,2006.78,3840137
5/6/21,2000,2006.84,1953,1959,5354614
5/7/21,1965,1967.98,1901,1903,5249339
5/10/21,1900,1909,1866.01,1879.03,4600318
5/11/21,1876,1966,1873.3,1959,4249412
5/12/21,1949.08,1999,1949,1984,3269887
5/13/21,1965.75,1985.05,1953,1971.5,2507751
5/14/21,1982,2030.5,1976,2009.85,3561129
5/17/21,2025.1,2085.2,2025.1,2057.96,4452400
5/18/21,2065,2077,2045.06,2059.31,1750428
5/19/21,2059,2074.81,2040,2049,2240972
5/20/21,2074,2074.1,2045.36,2058.88,2185716
5/21/21,2055.08,2079.88,2037.02,2042.1,2424823
5/24/21,2051,2080.06,2031,2071.29,3254808
5/25/21,2085,2200.1,2085,2194.5,6775695
5/26/21,2207.98,2241.8,2193.08,2220,3860420
5/27/21,2211.02,2320,2201.1,2245,4537338
5/28/21,2240.97,2250,2205.51,2230,2580731
5/31/21,2215.5,2218.35,2172,2218,3173900
6/1/21,2222,2248.95,2206,2240.95,3061634
6/2/21,2250,2264,2208.18,2222,2286277
6/3/21,2220,2260.34,2210.08,2222.22,2345031
6/4/21,2215,2288,2214.04,2251.5,3142219
6/7/21,2265,2279,2240.01,2271,2546627
6/8/21,2260,2279.99,2161.15,2191,4731363
6/9/21,2192,2214,2160.11,2199.5,2550235
6/10/21,2195,2251.37,2190.08,2238.48,2556663
6/11/21,2239,2244,2178.81,2178.81,3397066
6/15/21,2195.1,2208.88,2148,2193,2936130
6/16/21,2192,2195,2148,2158,2759315
6/17/21,2155.65,2188,2144.36,2156.91,2106753
6/18/21,2147,2156.5,2065,2090.94,5402821
6/21/21,2085,2099.69,2050,2081.64,3548826
6/22/21,2092,2098,2053.89,2074.97,3322818
6/23/21,2080,2083,2034.15,2038,3707901
6/24/21,2040.01,2080,2021,2068.05,3147370
6/25/21,2049.96,2109,2042.6,2092,3587543
6/28/21,2100,2118,2073,2103.01,2745242
6/29/21,2108,2115,2051,2062,3303063
6/30/21,2065,2074,2046.3,2056.7,2191566
7/1/21,2059.97,2110,2031.6,2105,3370124
7/2/21,2075,2075,2011.5,2013,4627531
7/5/21,2000,2019.88,1985,1994,3442095
7/6/21,1995,2014,1960.01,2012.9,3528251
7/7/21,2010,2028.88,1999.01,2004,2812212
7/8/21,2000.1,2004,1968,1985,3551669
7/9/21,1964.52,1985.91,1945,1972.11,3090790
7/12/21,1975.55,1998.78,1940.5,1961,3901024
7/13/21,1968,2005.5,1965,1982.9,2992471
7/14/21,1974,1974.5,1945,1962,3077069
7/15/21,1955.02,2013,1950.6,1997.99,4219005
7/16/21,1980,1996.6,1950,1955.9,3540764
7/19/21,1955.89,1986,1941,1975,3005234
7/20/21,1975,1988.93,1961.41,1980,2347521
7/21/21,1989,2006,1962.01,1969,2978013
7/22/21,1960,1973.9,1938.96,1940.01,3909047
7/23/21,1937.82,1937.82,1895.09,1900,4758547
7/26/21,1879,1879,1780,1804.11,9861948
7/27/21,1803,1810,1703,1712.89,8657699
7/28/21,1703,1788.2,1682.12,1768.9,8536884
7/29/21,1810.01,1823,1734.34,1749.79,6386385
7/30/21,1725,1725,1657.76,1678.99,7773589
8/2/21,1664,1755.98,1620.72,1755,9740065
8/3/21,1730,1768.99,1688.8,1749.3,5437475
8/4/21,1734.06,1760,1718,1724,3817549
8/5/21,1692.88,1745,1676.36,1699,4805969
8/6/21,1689,1694.01,1646.6,1671,4568610
8/9/21,1651,1709,1650,1693.8,4769775
8/10/21,1700,1802.88,1675,1799,8328505
8/11/21,1780.01,1785.01,1750.01,1750.5,3866259
8/12/21,1732,1749,1686.19,1690,4755097
8/13/21,1690,1713,1679,1700.04,3790452
8/16/21,1696,1713.6,1685.08,1699.2,2805697
8/17/21,1700,1700,1628.88,1635,6120077
8/18/21,1624.66,1642.99,1600,1620,5997026
8/19/21,1622.22,1643.2,1600,1619.97,4129195
8/20/21,1555.17,1597.55,1525.5,1548,11454454
8/23/21,1537.88,1599,1536.77,1570.19,7159720
